sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement,history,source
18673,MN/NON/83H05/2018/39,Manipur,,,,24.801389,93.469444,,,,uploaded landslide_report.pdf
18674,MN/NON/83H10/2018/71,Manipur,,,,24.801681,93.736408,,,,uploaded landslide_report.pdf
18675,MN/NON/83H09/2018/48,Manipur,,,,24.802417,93.699175,,,,uploaded landslide_report.pdf
18676,MN/NON/83H05/2018/41,Manipur,,,,24.804167,93.471667,,,,uploaded landslide_report.pdf
18677,MN/NON/83H09/2018/10,Manipur,,,,24.80425,93.732861,,,,uploaded landslide_report.pdf
18678,MN/TAM/83H01/2018/57,Manipur,,,,24.804448,93.235711,,,,uploaded landslide_report.pdf
18679,MN/NON/83H10/2018/70,Manipur,,,,24.804586,93.655719,,,,uploaded landslide_report.pdf
18680,MN/TAM/83H01/2018/47,Manipur,,,,24.805138,93.23716,,,,uploaded landslide_report.pdf
18681,MN/KAM/83L05/2018/37,Manipur,,,,24.805342,94.322356,,,,uploaded landslide_report.pdf
18682,MN/TAM/83H01/2018/46,Manipur,,,,24.80592,93.23789,,,,uploaded landslide_report.pdf
18683,MN/NON/83H10/2018/73,Manipur,,,,24.806064,93.735478,,,,uploaded landslide_report.pdf
18684,MN/KAM/83L05/2018/5,Manipur,,,,24.806278,94.377056,,,,uploaded landslide_report.pdf
18685,MN/KAM/83L09/2017/7,Manipur,,,,24.806417,94.505778,,,,uploaded landslide_report.pdf
18686,MN/TAM/83H05/2018/91,Manipur,,,,24.806806,93.404806,,,,uploaded landslide_report.pdf
18687,MN/TAM/83H01/2018/44,Manipur,,,,24.80831,93.24264,,,,uploaded landslide_report.pdf
18688,MN/NON/83H09/2018/74,Manipur,,,,24.808611,93.729078,,,,uploaded landslide_report.pdf
18689,MN/NON/83H10/2018/69,Manipur,,,,24.808619,93.651094,,,,uploaded landslide_report.pdf
18690,MN/NON/83H09/2018/11,Manipur,,,,24.808639,93.735722,,,,uploaded landslide_report.pdf
18691,MN/KAM/83L05/2018/4,Manipur,,,,24.808874,94.368466,,,,uploaded landslide_report.pdf
18692,MN/NON/83H09/2018/12,Manipur,,,,24.809917,93.736111,,,,uploaded landslide_report.pdf
18693,MN/NON/83H05/2018/81,Manipur,,,,24.811139,93.417,,,,uploaded landslide_report.pdf
18694,MN/KAM/83L06/2018/26,Manipur,,,,26.0,94.355581,,,,uploaded landslide_report.pdf
18695,MN/NON/83H05/2018/79,Manipur,,,,24.811333,93.42275,,,,uploaded landslide_report.pdf
18696,MN/KAM/83L05/2018/10,Manipur,,,,24.812017,94.356051,,,,uploaded landslide_report.pdf
18697,MN/NON/83H05/2018/76,Manipur,,,,24.812083,93.433917,,,,uploaded landslide_report.pdf
18698,MN/NON/83H05/2018/80,Manipur,,,,24.812167,93.423,,,,uploaded landslide_report.pdf
18699,MN/KAM/83L09/2017/51,Manipur,,,,24.812611,94.581278,,,,uploaded landslide_report.pdf
18700,MAN/TAM/83H09/2009-10/MN-,Manipur,,,,24.8133,93.5472,,,,uploaded landslide_report.pdf
18701,MN/TGPL/83L03/2018/009,Manipur,,,,24.813306,93.243417,,,,uploaded landslide_report.pdf
18702,MN/TMLG/83H1/2016/01,Manipur,,,,24.813889,93.245222,,,,uploaded landslide_report.pdf
18703,MN/KAM/83L09/2017/45,Manipur,,,,24.81425,94.552028,,,,uploaded landslide_report.pdf
18704,MN/NON/83H05/2018/78,Manipur,,,,24.814333,93.428306,,,,uploaded landslide_report.pdf
18705,MN/KAM/83L05/2018/38,Manipur,,,,24.814386,94.32344,,,,uploaded landslide_report.pdf
18706,MN/TAM/83H01/2018/45,Manipur,,,,24.8145,93.246,,,,uploaded landslide_report.pdf
18707,MN/KAM/83L09/2017/46,Manipur,,,,24.814778,94.549639,,,,uploaded landslide_report.pdf
18708,MN/NON/83H05/2018/74,Manipur,,,,24.815361,93.441528,,,,uploaded landslide_report.pdf
18709,MN/KAM/83L09/2017/52,Manipur,,,,24.8155,94.572222,,,,uploaded landslide_report.pdf
18710,MN/NON/83H05/2018/75,Manipur,,,,24.815528,93.43725,,,,uploaded landslide_report.pdf
18711,MN/NON/83H09/2018/45,Manipur,,,,24.815617,93.686672,,,,uploaded landslide_report.pdf
18712,MN/NON/83H09/2018/13,Manipur,,,,24.815833,93.740194,,,,uploaded landslide_report.pdf
18713,MN/NON/83H05/2018/77,Manipur,,,,24.816111,93.443917,,,,uploaded landslide_report.pdf
18714,MN/NON/83H09/2018/38,Manipur,,,,24.816242,93.523119,,,,uploaded landslide_report.pdf
18715,MN/KAM/83L09/2017/47,Manipur,,,,24.817028,94.534528,,,,uploaded landslide_report.pdf
18716,MAN/TAM/83H09/2007/C-1,Manipur,,,,24.81722,93.51722,,,,uploaded landslide_report.pdf
18717,MAN/TAM/83H09/2009-10/MN-,Manipur,,,,24.8175,93.54908,,,,uploaded landslide_report.pdf
18718,MAN/TAM/83H09/2007/C-13,Manipur,,,,24.81778,93.51583,,,,uploaded landslide_report.pdf
18719,MN/NON/83H09/2018/80,Manipur,,,,24.817939,93.688678,,,,uploaded landslide_report.pdf
18720,MN/KAM/83L09/2017/6,Manipur,,,,24.817944,94.504472,,,,uploaded landslide_report.pdf
18721,MN/NON/83H06/2018/8,Manipur,,,,24.818,93.45,,,,uploaded landslide_report.pdf
18722,MAN/TAM/83H09/2009-10/MN-,Manipur,,,,24.81867,93.54819,,,,uploaded landslide_report.pdf
18723,MN/KAM/83L05/2018/34,Manipur,,,,24.818713,94.355182,,,,uploaded landslide_report.pdf
18724,MN/NON/83H09/2018/79,Manipur,,,,24.818936,93.688939,,,,uploaded landslide_report.pdf
18725,MN/KAM/83L05/2018/36,Manipur,,,,24.819694,94.352611,,,,uploaded landslide_report.pdf
18726,MN/NON/83H05/2018/18,Manipur,,,,24.819722,93.459972,,,,uploaded landslide_report.pdf
18727,MN/NON/83H09/2018/39,Manipur,,,,24.819975,93.576653,,,,uploaded landslide_report.pdf
18728,MN/WEI/83H13/2020/4,Manipur,,,,24.82,93.89,,,,uploaded landslide_report.pdf
18729,MN/KAM/83L05/2018/35,Manipur,,,,24.820222,94.352889,,,,uploaded landslide_report.pdf
18730,MAN/KAN/83K04/2017/01,Manipur,,,,24.82058,94.137,,,,uploaded landslide_report.pdf
18731,MN/NON/83H09/2018/35,Manipur,,,,24.820667,93.525444,,,,uploaded landslide_report.pdf
18732,MN/NON/83H09/2018/40,Manipur,,,,24.820728,93.575906,,,,uploaded landslide_report.pdf
18733,MN/KAM/83L09/2017/5,Manipur,,,,24.820833,94.504167,,,,uploaded landslide_report.pdf
18734,MN/KAM/83L09/2017/4,Manipur,,,,24.821028,94.50425,,,,uploaded landslide_report.pdf
18735,MN/NON/83H09/2018/77,Manipur,,,,24.822953,93.710756,,,,uploaded landslide_report.pdf
18736,MN/KAM/83L05/2018/64,Manipur,,,,24.823283,94.322722,,,,uploaded landslide_report.pdf
18737,MN/KAM/83L05/2018/11,Manipur,,,,24.823296,94.358767,,,,uploaded landslide_report.pdf
18738,MAN/TAM/83H09/2009-10/MN-,Manipur,,,,24.82375,93.523861,,,,uploaded landslide_report.pdf
18739,MN/NON/83H05/2018/38,Manipur,,,,24.824111,93.474139,,,,uploaded landslide_report.pdf
18740,MN/KAM/83L05/2018/65,Manipur,,,,24.824278,94.322472,,,,uploaded landslide_report.pdf
18741,MN/NON/83H05/2018/37,Manipur,,,,24.824611,93.476528,,,,uploaded landslide_report.pdf
18742,MN/KAM/83L05/2018/39,Manipur,,,,24.825889,94.348861,,,,uploaded landslide_report.pdf
18743,MN/KAM/83L09/2017/3,Manipur,,,,24.826361,94.5255,,,,uploaded landslide_report.pdf
18744,MN/NON/83H05/2018/19,Manipur,,,,24.826694,93.467944,,,,uploaded landslide_report.pdf
18745,MN/NON/83H05/2018/35,Manipur,,,,24.827,93.478472,,,,uploaded landslide_report.pdf
18746,MN/NON/83H05/2018/36,Manipur,,,,24.827778,93.479167,,,,uploaded landslide_report.pdf
18747,MN/NON/83H09/2018/78,Manipur,,,,24.829225,93.720472,,,,uploaded landslide_report.pdf
18748,MN/NON/83H09/2018/37,Manipur,,,,24.829333,93.507056,,,,uploaded landslide_report.pdf
18749,MN/WEI/83H13/2020/2,Manipur,,,,24.83,93.9,,,,uploaded landslide_report.pdf
18750,MN/WEI/83H13/2020/5,Manipur,,,,24.83,93.88,,,,uploaded landslide_report.pdf
18751,MN/KAM/83L05/2018/12,Manipur,,,,24.830202,94.357821,,,,uploaded landslide_report.pdf
18752,MN/NON/83H05/2018/20,Manipur,,,,20.0,93.466972,,,,uploaded landslide_report.pdf
18753,MN/KAM/83L05/2018/60,Manipur,,,,24.831028,94.334833,,,,uploaded landslide_report.pdf
18754,MN/KAM/83L05/2018/61,Manipur,,,,24.831167,94.334111,,,,uploaded landslide_report.pdf
18755,MN/KAM/83L05/2018/40,Manipur,,,,24.83125,94.339194,,,,uploaded landslide_report.pdf
18756,MN/KAM/83L05/2018/63,Manipur,,,,24.831526,94.32757,,,,uploaded landslide_report.pdf
18757,MN/NON/83H09/2018/36,Manipur,,,,24.831719,93.514025,,,,uploaded landslide_report.pdf
18758,MN/KAM/83L05/2018/59,Manipur,,,,24.831859,94.335718,,,,uploaded landslide_report.pdf
18759,MAN/TAM/83H05/2008/C-19,Manipur,,,,24.83278,93.46333,,,,uploaded landslide_report.pdf
18760,MN/KAM/83L05/2018/62,Manipur,,,,24.832817,94.330448,,,,uploaded landslide_report.pdf
18761,MN/KAM/83L05/2018/31,Manipur,,,,24.833278,94.349639,,,,uploaded landslide_report.pdf
18762,MN/UKH/83L01/2018/42,Manipur,,,,24.833889,94.220167,,,,uploaded landslide_report.pdf
18763,MN/KAM/83L05/2018/32,Manipur,,,,24.833889,94.346417,,,,uploaded landslide_report.pdf
18764,MN/IMP/83L01/2018/51,Manipur,,,,24.833944,94.08125,,,,uploaded landslide_report.pdf
18765,MN/NON/83H09/2018/65,Manipur,,,,24.834028,93.644,,,,uploaded landslide_report.pdf
18766,MN/NON/83H09/2018/41,Manipur,,,,24.834069,93.578039,,,,uploaded landslide_report.pdf
18767,MN/KAM/83L05/2018/30,Manipur,,,,30.0,94.353028,,,,uploaded landslide_report.pdf
18768,MN/NON/83H09/2018/76,Manipur,,,,24.834386,93.715025,,,,uploaded landslide_report.pdf
18769,MN/NON/83H05/2018/21,Manipur,,,,21.0,93.459167,,,,uploaded landslide_report.pdf
18770,MN/NON/83H05/2018/22,Manipur,,,,22.0,93.459083,,,,uploaded landslide_report.pdf
18771,MN/KAM/83L05/2018/13,Manipur,,,,24.834921,94.365211,,,,uploaded landslide_report.pdf
18772,MN/KAM/83L05/2018/43,Manipur,,,,24.835145,94.340419,,,,uploaded landslide_report.pdf
18773,MN/KAM/83L09/2017/2,Manipur,,,,24.835611,94.519722,,,,uploaded landslide_report.pdf
18774,MN/TMLG/83H5/2016/02,Manipur,,,,24.836194,93.481992,,,,uploaded landslide_report.pdf
18775,MN/NON/83H05/2018/33,Manipur,,,,24.836222,93.482111,,,,uploaded landslide_report.pdf
18776,MN/NON/83H05/2018/34,Manipur,,,,24.836222,93.482111,,,,uploaded landslide_report.pdf
18777,MN/KAM/83L05/2018/14,Manipur,,,,24.83636,94.37622,,,,uploaded landslide_report.pdf
18778,MN/KAM/83L05/2018/29,Manipur,,,,29.0,94.354848,,,,uploaded landslide_report.pdf
18779,MN/NON/83H05/2018/32,Manipur,,,,24.83725,93.494528,,,,uploaded landslide_report.pdf
18780,MN/KAM/83L05/2018/41,Manipur,,,,24.837576,94.337593,,,,uploaded landslide_report.pdf
18781,MN/KAM/83L05/2018/28,Manipur,,,,28.0,94.357139,,,,uploaded landslide_report.pdf
18782,MN/KAM/83L05/2018/27,Manipur,,,,27.0,94.357083,,,,uploaded landslide_report.pdf
18783,MN/KAM/83L05/2018/26,Manipur,,,,26.0,94.357083,,,,uploaded landslide_report.pdf
18784,MN/UKH/83L01/2018/40,Manipur,,,,24.839306,94.22575,,,,uploaded landslide_report.pdf
18785,MN/UKH/83L01/2018/41,Manipur,,,,24.839722,94.224944,,,,uploaded landslide_report.pdf
18786,MN/WEI/83H13/2020/1,Manipur,,,,24.84,93.9,,,,uploaded landslide_report.pdf
18787,MN/WEI/83H13/2020/3,Manipur,,,,24.84,93.91,,,,uploaded landslide_report.pdf
18788,MN/NON/83H05/2018/31,Manipur,,,,24.841472,93.495917,,,,uploaded landslide_report.pdf
18789,MN/KAM/83L05/2018/15,Manipur,,,,24.8415,94.361167,,,,uploaded landslide_report.pdf
18790,MN/NON/83H05/2018/30,Manipur,,,,30.0,93.498556,,,,uploaded landslide_report.pdf
18791,MN/KAM/83L09/2017/1,Manipur,,,,24.841944,94.512972,,,,uploaded landslide_report.pdf
18792,MN/NON/83H05/2018/29,Manipur,,,,29.0,93.499333,,,,uploaded landslide_report.pdf
18793,MN/KAM/83L05/2018/42,Manipur,,,,24.842538,94.325233,,,,uploaded landslide_report.pdf
18794,MN/KAM/83L05/2018/25,Manipur,,,,25.0,94.357583,,,,uploaded landslide_report.pdf
18795,MN/TAM/83H05/2018/100,Manipur,,,,24.842944,93.439972,,,,uploaded landslide_report.pdf
18796,MN/NON/83H05/2018/27,Manipur,,,,27.0,93.498778,,,,uploaded landslide_report.pdf
18797,MN/TAM/83H05/2018/101,Manipur,,,,24.846028,93.43875,,,,uploaded landslide_report.pdf
18798,MN/KAM/83L05/2018/44,Manipur,,,,24.846167,94.323778,,,,uploaded landslide_report.pdf
18799,MN/KAM/83L05/2018/24,Manipur,,,,24.0,94.358028,,,,uploaded landslide_report.pdf
18800,MN/KAM/83L05/2018/33,Manipur,,,,24.847436,94.325861,,,,uploaded landslide_report.pdf
18801,MN/KAM/83L05/2018/23,Manipur,,,,23.0,94.357889,,,,uploaded landslide_report.pdf
18802,MAN/TAM/83H05/2007/C-14,Manipur,,,,24.84833,93.45917,,,,uploaded landslide_report.pdf
18803,MAN/TAM/83H05/2008/C-17,Manipur,,,,24.84833,93.45917,,,,uploaded landslide_report.pdf
18804,MN/KAM/83L05/2018/16,Manipur,,,,24.849667,94.365306,,,,uploaded landslide_report.pdf
18805,MN/NON/83H05/2018/28,Manipur,,,,28.0,93.497583,,,,uploaded landslide_report.pdf
18806,MN/KAM/83L05/2018/22,Manipur,,,,22.0,94.361722,,,,uploaded landslide_report.pdf
18807,MN/TAM/83H05/2018/25,Manipur,,,,25.0,93.449389,,,,uploaded landslide_report.pdf
18808,MN/KAM/83L05/2018/19,Manipur,,,,24.851806,94.366083,,,,uploaded landslide_report.pdf
18809,MN/KAM/83L05/2018/20,Manipur,,,,20.0,94.366303,,,,uploaded landslide_report.pdf
18810,MN/KAM/83L05/2018/17,Manipur,,,,24.852222,94.369333,,,,uploaded landslide_report.pdf
18811,MN/TAM/83H05/2018/24,Manipur,,,,24.0,93.449639,,,,uploaded landslide_report.pdf
18812,MN/KAM/83L05/2018/18,Manipur,,,,24.853139,94.369875,,,,uploaded landslide_report.pdf
18813,MN/TAM/83H01/2018/56,Manipur,,,,24.85325,93.2449,,,,uploaded landslide_report.pdf
18814,MN/NON/83H09/2018/67,Manipur,,,,24.854044,93.585331,,,,uploaded landslide_report.pdf
18815,MN/TAM/83H05/2018/23,Manipur,,,,23.0,93.449036,,,,uploaded landslide_report.pdf
18816,MN/NON/83H09/2018/33,Manipur,,,,24.854806,93.573444,,,,uploaded landslide_report.pdf
18817,Manipur/Noney/83H09/2020/0,Manipur,,,,24.85536111,93.62402778,,,,uploaded landslide_report.pdf
18818,MN/UKH/83L01/2018/39,Manipur,,,,24.858778,94.233139,,,,uploaded landslide_report.pdf
18819,MN/NON/83H09/2018/32,Manipur,,,,24.860347,93.572383,,,,uploaded landslide_report.pdf
18820,MN/NON/83H10/2018/24,Manipur,,,,24.0,93.62675,,,,uploaded landslide_report.pdf
18821,MN/TAM/83H05/2018/10,Manipur,,,,24.860889,93.463222,,,,uploaded landslide_report.pdf
18822,MN/NON/83H10/2018/74,Manipur,,,,24.861264,93.627742,,,,uploaded landslide_report.pdf
18823,MAN/TAM/83H09/2009-10/MN-,Manipur,,,,24.862444,93.610639,,,,uploaded landslide_report.pdf
18824,MN/NON/83H09/2018/31,Manipur,,,,24.862444,93.598194,,,,uploaded landslide_report.pdf
18825,Manipur/Noney/83H09/2020/0,Manipur,,,,24.86269444,93.62405556,,,,uploaded landslide_report.pdf
18826,MN/NON/83H09/2018/34,Manipur,,,,24.862778,93.585333,,,,uploaded landslide_report.pdf
18827,MN/NON/83H10/2018/23,Manipur,,,,23.0,93.616397,,,,uploaded landslide_report.pdf
18828,MN/NON/83H09/2018/42,Manipur,,,,24.863272,93.574044,,,,uploaded landslide_report.pdf
18829,MN/NON/83H09/2018/30,Manipur,,,,30.0,93.598719,,,,uploaded landslide_report.pdf
18830,MN/NON/83H09/2018/29,Manipur,,,,29.0,93.598917,,,,uploaded landslide_report.pdf
18831,MN/NON/83H09/2018/56,Manipur,,,,24.864739,93.625244,,,,uploaded landslide_report.pdf
18832,MN/KAN/83H13/2018/16,Manipur,,,,24.864833,93.772583,,,,uploaded landslide_report.pdf
18833,MN/KAN/83H13/2018/15,Manipur,,,,24.866972,93.7745,,,,uploaded landslide_report.pdf
18834,MN/KAM/83L09/2017/25,Manipur,,,,25.0,94.566889,,,,uploaded landslide_report.pdf
18835,MN/NON/83H09/2018/58,Manipur,,,,24.867694,93.625858,,,,uploaded landslide_report.pdf
18836,MN/UKH/83L01/2018/38,Manipur,,,,24.869028,94.234611,,,,uploaded landslide_report.pdf
18837,MN/KAN/83H13/2018/9,Manipur,,,,24.869889,93.779444,,,,uploaded landslide_report.pdf
18838,MN/KAM/83L09/2017/20,Manipur,,,,20.0,94.592417,,,,uploaded landslide_report.pdf
18839,MN/KAM/83L09/2017/23,Manipur,,,,23.0,94.588778,,,,uploaded landslide_report.pdf
18840,MN/KAM/83L09/2017/22,Manipur,,,,22.0,94.589944,,,,uploaded landslide_report.pdf
18841,MN/KAM/83L09/2017/21,Manipur,,,,21.0,94.591111,,,,uploaded landslide_report.pdf
18842,MN/KAN/83H13/2018/8,Manipur,,,,24.871361,93.778667,,,,uploaded landslide_report.pdf
18843,MN/UKH/83L01/2018/37,Manipur,,,,24.871528,94.234056,,,,uploaded landslide_report.pdf
18844,MN/KAN/83H13/2018/14,Manipur,,,,24.871694,93.776861,,,,uploaded landslide_report.pdf
18845,MN/KAN/83H13/2018/7,Manipur,,,,24.871861,93.778111,,,,uploaded landslide_report.pdf
18846,MN/KAM/83L09/2017/24,Manipur,,,,24.0,94.580417,,,,uploaded landslide_report.pdf
18847,MN/NON/83H09/2018/57,Manipur,,,,24.872153,93.623861,,,,uploaded landslide_report.pdf
18848,MN/KAN/83H13/2018/13,Manipur,,,,24.872917,93.779167,,,,uploaded landslide_report.pdf
18849,MN/TAM/83H05/2018/11,Manipur,,,,24.874222,93.466667,,,,uploaded landslide_report.pdf
18850,MN/UKH/83L01/2018/36,Manipur,,,,24.8745,94.235833,,,,uploaded landslide_report.pdf
18851,MN/TAM/83H05/2018/99,Manipur,,,,24.877417,93.460583,,,,uploaded landslide_report.pdf
18852,MN/KAM/83L05/2018/45,Manipur,,,,24.883132,94.31281,,,,uploaded landslide_report.pdf
18853,MN/TAM/83H05/2018/9,Manipur,,,,24.883194,93.465667,,,,uploaded landslide_report.pdf
18854,MN/KAM/83L09/2017/19,Manipur,,,,24.884389,94.601306,,,,uploaded landslide_report.pdf
18855,MN/KAM/83L09/2017/15,Manipur,,,,24.884889,94.613222,,,,uploaded landslide_report.pdf
18856,MN/KAM/83L05/2018/46,Manipur,,,,24.8852,94.313301,,,,uploaded landslide_report.pdf
18857,MN/KAM/83L09/2017/16,Manipur,,,,24.887722,94.610194,,,,uploaded landslide_report.pdf
18858,MN/TAM/83H05/2018/8,Manipur,,,,24.888472,93.473028,,,,uploaded landslide_report.pdf
18859,MN/KAM/83L09/2017/18,Manipur,,,,24.888528,94.601694,,,,uploaded landslide_report.pdf
18860,MN/NON/83H09/2018/68,Manipur,,,,24.888556,93.641472,,,,uploaded landslide_report.pdf
18861,MN/KAM/83L05/2018/48,Manipur,,,,24.889031,94.306125,,,,uploaded landslide_report.pdf
18862,MN/NON/83H09/2018/62,Manipur,,,,24.890167,93.707572,,,,uploaded landslide_report.pdf
18863,MN/TAM/83H05/2018/26,Manipur,,,,26.0,93.466667,,,,uploaded landslide_report.pdf
18864,MN/KAM/83L09/2017/17,Manipur,,,,24.8905,94.607056,,,,uploaded landslide_report.pdf
18865,MN/KAM/83L05/2018/47,Manipur,,,,24.890806,94.319308,,,,uploaded landslide_report.pdf
18866,MN/UKH/83L01/2018/35,Manipur,,,,24.892028,94.238389,,,,uploaded landslide_report.pdf
18867,MN/KAM/83L05/2018/49,Manipur,,,,24.894359,94.320541,,,,uploaded landslide_report.pdf
18868,MN/KAM/83L05/2018/52,Manipur,,,,24.894944,94.323111,,,,uploaded landslide_report.pdf
18869,MN/UKH/83L01/2018/34,Manipur,,,,24.895,94.242972,,,,uploaded landslide_report.pdf
18870,MN/UKH/83L01/2018/33,Manipur,,,,24.895806,94.243944,,,,uploaded landslide_report.pdf
18871,MN/KAM/83L05/2018/53,Manipur,,,,24.897722,94.328472,,,,uploaded landslide_report.pdf
18872,MN/TAM/83H05/2018/7,Manipur,,,,24.898,93.487722,,,,uploaded landslide_report.pdf
18873,MN/UKH/83L05/2018/3,Manipur,,,,24.898438,94.328686,,,,uploaded landslide_report.pdf
18874,MN/KAM/83L05/2018/58,Manipur,,,,24.901194,94.342444,,,,uploaded landslide_report.pdf
18875,MAN/TAM/83H05/2008/C-18,Manipur,,,,24.90139,93.45389,,,,uploaded landslide_report.pdf
18876,MN/KAM/83L05/2018/56,Manipur,,,,24.901444,94.338306,,,,uploaded landslide_report.pdf
18877,MN/KAM/83L05/2018/57,Manipur,,,,24.901861,94.341944,,,,uploaded landslide_report.pdf
18878,MN/KAM/83L05/2018/66,Manipur,,,,24.906333,94.482917,,,,uploaded landslide_report.pdf
18879,MN/UKH/83L05/2018/2,Manipur,,,,24.90725,94.335333,,,,uploaded landslide_report.pdf
18880,MN/KAM/83L05/2018/54,Manipur,,,,24.908389,94.335056,,,,uploaded landslide_report.pdf
18881,MN/KAM/83L05/2018/55,Manipur,,,,24.908778,94.333417,,,,uploaded landslide_report.pdf
18882,MN/KAM/83L05/2018/51,Manipur,,,,24.909542,94.316778,,,,uploaded landslide_report.pdf
18883,MN/KAM/83L05/2018/67,Manipur,,,,24.909889,94.486778,,,,uploaded landslide_report.pdf
18884,MN/KAM/83L05/2018/50,Manipur,,,,24.910619,94.321092,,,,uploaded landslide_report.pdf
18885,MN/UKH/83L01/2018/32,Manipur,,,,24.911194,94.242111,,,,uploaded landslide_report.pdf
18886,MN/TAM/83H05/2018/5,Manipur,,,,24.911722,93.484361,,,,uploaded landslide_report.pdf
18887,MN/UKH/83L01/2018/31,Manipur,,,,24.913611,94.242028,,,,uploaded landslide_report.pdf
18888,MN/KAM/83L05/2018/69,Manipur,,,,24.91475,94.464944,,,,uploaded landslide_report.pdf
18889,MN/UKH/83L01/2018/30,Manipur,,,,30.0,94.242583,,,,uploaded landslide_report.pdf
18890,MN/KAM/83L09/2017/41,Manipur,,,,24.9155,94.578333,,,,uploaded landslide_report.pdf
18891,MN/KAM/83L09/2017/42,Manipur,,,,24.915806,94.578222,,,,uploaded landslide_report.pdf
18892,MN/KAM/83L05/2018/68,Manipur,,,,24.916083,94.486889,,,,uploaded landslide_report.pdf
18893,MN/TAM/83H05/2018/94,Manipur,,,,24.916444,93.481556,,,,uploaded landslide_report.pdf
18894,MN/TAM/83H05/2018/92,Manipur,,,,24.917278,93.471167,,,,uploaded landslide_report.pdf
18895,MN/KAM/83L09/2017/43,Manipur,,,,24.917611,94.576556,,,,uploaded landslide_report.pdf
18896,MN/KAM/83L09/2017/44,Manipur,,,,24.9179,94.0,,,,uploaded landslide_report.pdf
18897,MN/KAM/83L05/2018/70,Manipur,,,,24.919751,94.461919,,,,uploaded landslide_report.pdf
18898,MN/KAM/83L09/2017/39,Manipur,,,,24.919917,94.567111,,,,uploaded landslide_report.pdf
18899,MN/KAM/83L09/2017/40,Manipur,,,,24.920056,94.568778,,,,uploaded landslide_report.pdf
18900,MN/KAM/83L09/2017/38,Manipur,,,,24.921167,94.563361,,,,uploaded landslide_report.pdf
18901,MN/NON/83H09/2018/59,Manipur,,,,24.922861,93.633144,,,,uploaded landslide_report.pdf
18902,MN/KAM/83L09/2017/37,Manipur,,,,24.924528,94.559833,,,,uploaded landslide_report.pdf
18903,MN/UKH/83L05/2018/1,Manipur,,,,24.925194,94.337056,,,,uploaded landslide_report.pdf
18904,MN/NON/83H13/2018/001,Manipur,,,,24.9252,94.3371,,,,uploaded landslide_report.pdf
18905,MN/KAN/83H13/2018/11,Manipur,,,,24.927139,93.789333,,,,uploaded landslide_report.pdf
18906,MN/KAN/83H13/2018/10,Manipur,,,,24.930056,93.797167,,,,uploaded landslide_report.pdf
18907,MN/UKH/83L01/2018/3,Manipur,,,,24.930278,94.149361,,,,uploaded landslide_report.pdf
18908,MN/TAM/83H05/2018/93,Manipur,,,,24.930806,93.444833,,,,uploaded landslide_report.pdf
18909,MN/UKH/83L01/2018/4,Manipur,,,,24.930944,94.151639,,,,uploaded landslide_report.pdf
18910,MN/UKH/83L01/2018/28,Manipur,,,,28.0,94.227111,,,,uploaded landslide_report.pdf
18911,MN/UKH/83L01/2018/29,Manipur,,,,29.0,94.228917,,,,uploaded landslide_report.pdf
18912,MN/KAM/83L05/2018/21,Manipur,,,,21.0,94.417417,,,,uploaded landslide_report.pdf
18913,MN/KAM/83L05/2018/71,Manipur,,,,24.934336,94.460091,,,,uploaded landslide_report.pdf
18914,MN/UKH/83L01/2018/2,Manipur,,,,24.934833,94.184944,,,,uploaded landslide_report.pdf
18915,MN/NON/83H09/2018/73,Manipur,,,,24.935611,93.654444,,,,uploaded landslide_report.pdf
18916,MN/UKH/83L01/2018/1,Manipur,,,,24.936361,94.160028,,,,uploaded landslide_report.pdf
18917,MN/KAM/83L09/2017/36,Manipur,,,,24.938361,94.549556,,,,uploaded landslide_report.pdf
18918,MN/UKH/83L01/2018/20,Manipur,,,,20.0,94.181861,,,,uploaded landslide_report.pdf
18919,MN/KAM/83L09/2017/35,Manipur,,,,24.938806,94.549278,,,,uploaded landslide_report.pdf
18920,MN/KAM/83L09/2017/34,Manipur,,,,24.939167,94.548889,,,,uploaded landslide_report.pdf
18921,MN/UKH/83L01/2018/44,Manipur,,,,24.940333,94.202556,,,,uploaded landslide_report.pdf
18922,MN/KAN/83H13/2018/17,Manipur,,,,24.940583,94.008889,,,,uploaded landslide_report.pdf
18923,MN/KAN/83H13/2018/18,Manipur,,,,24.940611,94.009083,,,,uploaded landslide_report.pdf
18924,MN/UKH/83L01/2018/5,Manipur,,,,24.940611,94.1515,,,,uploaded landslide_report.pdf
18925,MN/UKH/83L01/2018/45,Manipur,,,,24.940944,94.201889,,,,uploaded landslide_report.pdf
18926,MN/UKH/83L01/2018/6,Manipur,,,,24.940972,94.151528,,,,uploaded landslide_report.pdf
18927,MN/UKH/83L01/2018/27,Manipur,,,,27.0,94.220861,,,,uploaded landslide_report.pdf
18928,MN/KAM/83L09/2017/33,Manipur,,,,24.94225,94.541056,,,,uploaded landslide_report.pdf
18929,MN/TAM/83H05/2018/4,Manipur,,,,24.942778,93.495333,,,,uploaded landslide_report.pdf
18930,MN/KAM/83L05/2018/72,Manipur,,,,24.943258,94.457787,,,,uploaded landslide_report.pdf
18931,MN/NON/83H09/2018/60,Manipur,,,,24.943778,93.706472,,,,uploaded landslide_report.pdf
